,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed,Sunrise,Sunset
0,yeppoon,33,AU,1581917221,52,91.4,-23.13,150.73,10.29,1581882371,1581928585
1,victoria,0,HK,1581917221,35,61.0,22.29,114.16,10.29,1581893662,1581934847
2,saint-georges,20,GD,1581917222,83,77.0,12.06,-61.75,9.17,1581935293,1581977649
3,asilah,75,MA,1581917222,100,50.0,35.47,-6.03,4.7,1581923366,1581962831
4,hasaki,20,JP,1581917222,36,61.0,35.73,140.83,14.99,1581888166,1581927541
5,busselton,0,AU,1581917222,19,82.0,-33.65,115.33,4.07,1581890126,1581937821
6,rikitea,100,PF,1581917222,81,79.38,-23.12,-134.97,19.37,1581864532,1581910761
7,pandan,54,PH,1581917223,73,80.64,14.05,124.17,16.71,1581890791,1581932912
8,soyo,100,AO,1581917223,83,79.21,-6.13,12.37,0.54,1581916559,1581960807
9,airai,100,TL,1581917223,83,78.22,-8.93,125.41,3.38,1581889277,1581933832
10,lucapa,97,AO,1581917224,94,68.7,-8.42,20.74,1.48,1581914428,1581958920
11,thompson,90,CA,1581917224,76,-9.4,55.74,-97.86,2.24,1581861287,1581896193
12,vaini,40,TO,1581917224,69,80.6,-21.2,-175.2,14.99,1581960743,1582006652
13,tiksi,100,RU,1581917224,93,-3.77,71.69,128.87,5.66,1581898169,1581923279
14,port elizabeth,20,ZA,1581917224,77,69.8,-33.92,25.57,19.46,1581911661,1581959369
15,ushuaia,40,AR,1581917224,81,44.6,-54.8,-68.3,4.7,1581931823,1581984263
16,buchanan,90,LR,1581917225,94,77.0,5.88,-10.05,2.86,1581922564,1581965563
17,barmer,7,IN,1581917225,7,85.17,25.75,71.38,7.36,1581904135,1581944907
18,jamestown,1,US,1581917225,92,30.99,42.1,-79.24,8.05,1581941468,1581979869
19,hermanus,96,ZA,1581917032,93,64.0,-34.42,19.23,1.01,1581913144,1581960929
20,ancud,54,CL,1581917226,93,46.4,-41.87,-73.82,2.24,1581934830,1581983905
21,lompoc,1,US,1581917226,87,55.0,34.64,-120.46,9.17,1581864411,1581903918
22,saint-philippe,49,RE,1581917227,58,82.4,-21.36,55.77,11.41,1581905281,1581951254
23,naze,75,JP,1581917227,62,55.4,28.37,129.48,16.11,1581890366,1581930789
24,ketchikan,40,US,1581917227,100,39.2,55.34,-131.65,5.82,1581869319,1581904380
25,mataura,33,NZ,1581917228,87,60.01,-46.19,168.86,8.99,1581876062,1581926192
26,guerrero negro,80,MX,1581917228,71,61.23,27.98,-114.06,9.08,1581862406,1581902850
27,upernavik,100,GL,1581917228,89,1.87,72.79,-56.15,5.1,1581943129,1581967124
28,faanui,80,PF,1581917228,74,82.99,-16.48,-151.75,14.29,1581868967,1581914380
29,cabo san lucas,40,MX,1581917228,45,70.0,22.89,-109.91,11.41,1581861089,1581902175
30,qaanaaq,78,GL,1581917229,48,-0.96,77.48,-69.36,4.83,1581952009,1581964586
31,atuona,20,PF,1581917229,78,81.36,-9.8,-139.03,21.47,1581866292,1581910950
32,cape town,75,ZA,1581917136,93,66.99,-33.93,18.42,8.05,1581913377,1581961085
33,swan hill,0,AU,1581917229,27,95.0,-35.34,143.55,8.01,1581883211,1581931190
34,bluff,64,NZ,1581917229,87,60.01,-46.6,168.33,8.99,1581876140,1581926368
35,butaritari,12,KI,1581917230,75,83.57,3.07,172.79,17.05,1581878541,1581921826
36,bethel,75,US,1581917183,86,39.99,41.37,-73.41,4.16,1581940005,1581978534
37,kokopo,67,PG,1581917230,75,84.99,-4.35,152.26,19.19,1581883078,1581927143
38,tuktoyaktuk,20,CA,1581917230,74,-23.8,69.45,-133.04,17.22,1581873487,1581900879
39,port moresby,40,PG,1581917230,66,91.4,-9.44,147.18,20.8,1581884024,1581928636
40,yellandu,0,IN,1581917230,30,89.15,17.6,80.33,2.89,1581901506,1581943240
41,boshnyakovo,100,RU,1581917231,92,14.63,49.63,142.17,10.85,1581889176,1581925888
42,albany,20,US,1581917231,73,32.0,42.6,-73.97,4.97,1581940250,1581978557
43,qasigiannguit,100,GL,1581917231,65,8.6,68.82,-51.19,4.7,1581939747,1581968126
44,new norfolk,20,AU,1581917231,42,66.99,-42.78,147.06,17.22,1581881678,1581931039
45,avarua,100,CK,1581917231,88,80.6,-21.21,-159.78,8.05,1581870610,1581916591
46,hilo,90,US,1581917215,64,73.4,19.73,-155.09,9.17,1581871740,1581913210
47,klaksvik,42,FO,1581917232,80,41.0,62.23,-6.59,12.75,1581926956,1581959510
