,Country,City,Lat,Lng,Hotel Name
0,AU,yeppoon,-23.13,150.73,Oshen Apartments Yeppoon
1,HK,victoria,22.29,114.16,Park Hotel Hong Kong
2,GD,saint-georges,12.06,-61.75,Laluna Boutique Beach Hotel and Villas
3,MA,asilah,35.47,-6.03,Asilah 32
4,JP,hasaki,35.73,140.83,Inubosaki Kanko Hotel
5,AU,busselton,-33.65,115.33,Abbey Beach Resort
6,PF,rikitea,-23.12,-134.97,Pension Bianca & Benoit
7,PH,pandan,14.05,124.17,Bonifacio Lodge
8,AO,soyo,-6.13,12.37,Kinwica
9,TL,airai,-8.93,125.41,
10,AO,lucapa,-8.42,20.74,Residência da Esperança Zezinha Sonhe
11,CA,thompson,55.74,-97.86,Best Western Thompson Hotel & Suites
12,TO,vaini,-21.2,-175.2,Keleti Beach Resort
13,RU,tiksi,71.69,128.87,Arktika
14,ZA,port elizabeth,-33.92,25.57,Millbury Guesthouse
15,AR,ushuaia,-54.8,-68.3,Los Cauquenes Resort & Spa
16,LR,buchanan,5.88,-10.05,Crowne Hotel
17,IN,barmer,25.75,71.38,Sanchal Fort
18,US,jamestown,42.1,-79.24,Chautauqua Harbor Hotel
19,ZA,hermanus,-34.42,19.23,Harbour House Hotel
20,CL,ancud,-41.87,-73.82,Panamericana Hotel Ancud
21,US,lompoc,34.64,-120.46,Embassy Suites by Hilton Lompoc Central Coast
22,RE,saint-philippe,-21.36,55.77,Les Embruns Du Baril
23,JP,naze,28.37,129.48,Hotel New Amami
24,US,ketchikan,55.34,-131.65,Inn at Creek Street
25,NZ,mataura,-46.19,168.86,Falls Hotel
26,MX,guerrero negro,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
27,GL,upernavik,72.79,-56.15,Café de Upernavik
28,PF,faanui,-16.48,-151.75,Le Méridien Bora Bora
29,MX,cabo san lucas,22.89,-109.91,Waldorf Astoria Los Cabos Pedregal
30,GL,qaanaaq,77.48,-69.36,Qaanaaq Hotel
31,PF,atuona,-9.8,-139.03,Pension Temetiu Village
32,ZA,cape town,-33.93,18.42,Hilton Cape Town City Centre
33,AU,swan hill,-35.34,143.55,Swan Hill Resort
34,NZ,bluff,-46.6,168.33,Foveaux Hotel
